Point_ID,Latitude,Longitude
P01,14.3871,121.0266
P02,14.3871,121.0475
P03,14.4268,120.9847
P04,14.4268,121.0056
P05,14.4268,121.0266
P06,14.4268,121.0475
P07,14.4666,120.9847
P08,14.4666,121.0056
P09,14.4666,121.0266
P10,14.4666,121.0475
P11,14.5063,121.0056
P12,14.5063,121.0266
P13,14.5063,121.0475
P14,14.546,121.0056
P15,14.546,121.0266
P16,14.546,121.0475
P17,14.546,121.0684
P18,14.546,121.0893
P19,14.5858,120.9847
P20,14.5858,121.0056
P21,14.5858,121.0266
P22,14.5858,121.0475
P23,14.5858,121.0684
P24,14.5858,121.0893
P25,14.6255,120.9638
P26,14.6255,120.9847
P27,14.6255,121.0056
P28,14.6255,121.0266
P29,14.6255,121.0475
P30,14.6255,121.0684
