point_id,latitude,longitude,date,temp_min,temp_max,temp_mean,humidity_mean,pressure_mean,wind_speed_max,wind_direction,precipitation_total,cloud_cover_mean
P01,14.3871,121.0266,2024-07-01,26.95,33.19,29.626666666666665,68.0,1008.0,3.58,120.0,0.0,100.0
P01,14.3871,121.0266,2024-07-08,25.4,31.43,28.77333333333333,68.0,1009.0,4.02,156.0,2.34,85.0
P01,14.3871,121.0266,2024-07-15,25.91,31.2,28.366666666666664,73.0,1008.0,6.26,154.0,17.27,100.0
P01,14.3871,121.0266,2024-07-22,24.82,28.18,25.916666666666668,96.0,1007.0,7.2,250.0,11.71,100.0
P01,14.3871,121.0266,2024-07-29,24.36,30.37,27.048333333333332,82.0,1009.0,3.58,312.0,30.12,100.0
P01,14.3871,121.0266,2024-08-05,26.33,31.2,28.256666666666664,74.0,1008.0,6.26,303.0,0.0,90.0
P01,14.3871,121.0266,2024-08-12,27.04,32.74,29.521666666666665,67.0,1007.0,8.05,309.0,0.0,36.0
P01,14.3871,121.0266,2024-08-19,26.14,33.74,29.118333333333336,62.0,1008.0,7.2,220.0,2.52,99.0
P01,14.3871,121.0266,2024-08-26,25.23,30.01,27.218333333333334,85.0,1007.0,4.02,272.0,9.82,93.0
P01,14.3871,121.0266,2024-09-02,23.29,25.79,24.7,97.0,1006.0,6.26,240.0,91.92,100.0
P01,14.3871,121.0266,2024-09-09,26.18,29.38,28.066666666666666,85.0,1009.0,3.13,280.0,0.0,100.0
P01,14.3871,121.0266,2024-09-16,25.86,30.51,27.94666666666667,80.0,1002.0,6.69,260.0,4.85,100.0
P01,14.3871,121.0266,2024-09-23,25.61,33.19,28.993333333333336,70.0,1011.0,4.02,102.0,0.0,72.0
P01,14.3871,121.0266,2024-09-30,25.53,31.82,28.34,67.0,1007.0,8.23,270.0,0.0,100.0
P01,14.3871,121.0266,2024-10-07,24.41,30.3,27.080000000000002,66.0,1010.0,2.77,125.0,1.07,50.0
P01,14.3871,121.0266,2024-10-14,27.16,30.59,28.75,72.0,1009.0,4.47,96.0,0.0,99.0
P01,14.3871,121.0266,2024-10-21,25.08,31.02,27.366666666666664,82.0,1009.0,3.13,96.0,9.85,100.0
P01,14.3871,121.0266,2024-10-28,26.08,30.6,28.175,72.0,1006.0,5.81,296.0,0.1,97.0
P01,14.3871,121.0266,2024-11-04,24.9,31.88,27.933333333333334,71.0,1010.0,3.58,96.0,0.1,100.0
P01,14.3871,121.0266,2024-11-11,25.69,29.97,27.72,82.0,1006.0,2.68,275.0,3.54,100.0
P01,14.3871,121.0266,2024-11-18,25.9,32.2,28.71666666666667,72.0,1011.0,4.92,91.0,0.57,100.0
P01,14.3871,121.0266,2024-11-25,26.44,31.22,28.645,73.0,1011.0,4.92,95.0,0.0,60.0
P01,14.3871,121.0266,2024-12-02,25.06,27.19,25.85166666666667,97.0,1009.0,3.52,89.0,6.13,100.0
P01,14.3871,121.0266,2024-12-09,26.35,29.03,27.49666666666667,80.0,1010.0,6.71,96.0,8.52,100.0
P01,14.3871,121.0266,2024-12-16,25.06,30.21,27.064999999999998,74.0,1013.0,6.26,90.0,0.0,94.0
P01,14.3871,121.0266,2024-12-23,25.24,28.43,26.715,76.0,1011.0,8.49,101.0,1.35,100.0
P01,14.3871,121.0266,2024-12-30,24.1,29.42,26.17,80.0,1012.0,8.19,87.0,2.66,30.0
P02,14.3871,121.0475,2024-07-01,26.95,33.19,29.626666666666665,68.0,1008.0,3.58,120.0,0.0,100.0
P02,14.3871,121.0475,2024-07-08,25.4,31.43,28.77333333333333,68.0,1009.0,4.02,156.0,2.34,85.0
P02,14.3871,121.0475,2024-07-15,25.91,31.2,28.366666666666664,73.0,1008.0,6.26,154.0,17.27,100.0
P02,14.3871,121.0475,2024-07-22,24.82,28.18,25.916666666666668,96.0,1007.0,7.2,250.0,11.71,100.0
P02,14.3871,121.0475,2024-07-29,24.36,30.37,27.048333333333332,82.0,1009.0,3.58,312.0,30.12,100.0
P02,14.3871,121.0475,2024-08-05,26.33,31.2,28.256666666666664,74.0,1008.0,6.26,303.0,0.0,90.0
P02,14.3871,121.0475,2024-08-12,27.04,32.74,29.521666666666665,67.0,1007.0,8.05,309.0,0.0,36.0
P02,14.3871,121.0475,2024-08-19,26.14,33.74,29.118333333333336,62.0,1008.0,7.2,220.0,2.52,99.0
P02,14.3871,121.0475,2024-08-26,25.23,30.01,27.218333333333334,85.0,1007.0,4.02,272.0,9.82,93.0
P02,14.3871,121.0475,2024-09-02,23.29,25.79,24.7,97.0,1006.0,6.26,240.0,91.92,100.0
P02,14.3871,121.0475,2024-09-09,26.18,29.38,28.066666666666666,85.0,1009.0,3.13,280.0,0.0,100.0
P02,14.3871,121.0475,2024-09-16,25.86,30.51,27.94666666666667,80.0,1002.0,6.69,260.0,4.85,100.0
P02,14.3871,121.0475,2024-09-23,25.61,33.19,28.993333333333336,70.0,1011.0,4.02,102.0,0.0,72.0
P02,14.3871,121.0475,2024-09-30,25.53,31.82,28.34,67.0,1007.0,8.23,270.0,0.0,100.0
P02,14.3871,121.0475,2024-10-07,24.41,30.3,27.080000000000002,66.0,1010.0,2.77,125.0,1.07,50.0
P02,14.3871,121.0475,2024-10-14,27.16,30.59,28.75,72.0,1009.0,4.47,96.0,0.0,99.0
P02,14.3871,121.0475,2024-10-21,25.08,31.02,27.366666666666664,82.0,1009.0,3.13,96.0,9.85,100.0
P02,14.3871,121.0475,2024-10-28,26.08,30.6,28.175,72.0,1006.0,5.81,296.0,0.1,97.0
P02,14.3871,121.0475,2024-11-04,24.9,31.88,27.933333333333334,71.0,1010.0,3.58,96.0,0.1,100.0
P02,14.3871,121.0475,2024-11-11,25.69,29.97,27.72,82.0,1006.0,2.68,275.0,3.54,100.0
P02,14.3871,121.0475,2024-11-18,25.9,32.2,28.71666666666667,72.0,1011.0,4.92,91.0,0.57,100.0
P02,14.3871,121.0475,2024-11-25,26.44,31.22,28.645,73.0,1011.0,4.92,95.0,0.0,60.0
P02,14.3871,121.0475,2024-12-02,25.06,27.19,25.85166666666667,97.0,1009.0,3.52,89.0,6.13,100.0
P02,14.3871,121.0475,2024-12-09,26.35,29.03,27.49666666666667,80.0,1010.0,6.71,96.0,8.52,100.0
P02,14.3871,121.0475,2024-12-16,25.06,30.21,27.064999999999998,74.0,1013.0,6.26,90.0,0.0,94.0
P02,14.3871,121.0475,2024-12-23,25.24,28.43,26.715,76.0,1011.0,8.49,101.0,1.35,100.0
P02,14.3871,121.0475,2024-12-30,24.1,29.42,26.17,80.0,1012.0,8.19,87.0,2.66,30.0
P03,14.4268,120.9847,2024-07-01,26.96,33.21,29.62,69.0,1008.0,3.29,119.0,0.0,100.0
P03,14.4268,120.9847,2024-07-08,25.61,32.45,28.968333333333334,68.0,1009.0,4.36,105.0,0.91,92.0
P03,14.4268,120.9847,2024-07-15,25.73,31.46,28.405,73.0,1008.0,5.75,113.0,13.54,100.0
P03,14.4268,120.9847,2024-07-22,24.79,27.84,25.923333333333332,96.0,1007.0,9.11,243.0,10.89,100.0
P03,14.4268,120.9847,2024-07-29,24.62,30.48,27.201666666666668,82.0,1009.0,5.38,254.0,26.04,100.0
P03,14.4268,120.9847,2024-08-05,26.4,31.46,28.368333333333336,74.0,1008.0,7.39,246.0,1.98,86.0
P03,14.4268,120.9847,2024-08-12,26.95,32.71,29.548333333333332,67.0,1007.0,6.73,252.0,0.0,22.0
P03,14.4268,120.9847,2024-08-19,26.52,34.1,29.3,62.0,1008.0,7.2,220.0,8.56,100.0
P03,14.4268,120.9847,2024-08-26,25.29,30.2,27.505,81.0,1007.0,5.98,255.0,3.94,88.0
P03,14.4268,120.9847,2024-09-02,23.36,25.99,24.808333333333334,97.0,1006.0,11.25,239.0,95.85,100.0
P03,14.4268,120.9847,2024-09-09,25.97,29.47,28.046666666666667,85.0,1009.0,4.85,350.0,0.1,100.0
P03,14.4268,120.9847,2024-09-16,25.87,30.58,28.011666666666667,80.0,1002.0,6.69,260.0,8.7,100.0
P03,14.4268,120.9847,2024-09-23,25.57,33.21,29.0,70.0,1011.0,4.61,122.0,0.13,82.0
P03,14.4268,120.9847,2024-09-30,25.59,31.89,28.376666666666665,67.0,1007.0,9.45,241.0,0.0,99.0
