route_name,distance_km,duration_min,lat,lon,order
Route 1,4.59,13.4,14.657277,121.064409,1
Route 1,4.59,13.4,14.657283,121.064368,2
Route 1,4.59,13.4,14.657295,121.064335,3
Route 1,4.59,13.4,14.657313,121.064306,4
Route 1,4.59,13.4,14.657337,121.064281,5
Route 1,4.59,13.4,14.657383,121.064283,6
Route 1,4.59,13.4,14.657529,121.064291,7
Route 1,4.59,13.4,14.657617,121.064295,8
Route 1,4.59,13.4,14.657643,121.064059,9
Route 1,4.59,13.4,14.657661,121.063913,10
Route 1,4.59,13.4,14.657676,121.063729,11
Route 1,4.59,13.4,14.657676,121.063653,12
Route 1,4.59,13.4,14.657681,121.063391,13
Route 1,4.59,13.4,14.657687,121.063061,14
Route 1,4.59,13.4,14.65769,121.062654,15
Route 1,4.59,13.4,14.65769,121.062612,16
Route 1,4.59,13.4,14.657691,121.062468,17
Route 1,4.59,13.4,14.65769,121.062361,18
Route 1,4.59,13.4,14.65739,121.062358,19
Route 1,4.59,13.4,14.656944,121.062353,20
Route 1,4.59,13.4,14.656823,121.062352,21
Route 1,4.59,13.4,14.656658,121.062351,22
Route 1,4.59,13.4,14.656607,121.06235,23
Route 1,4.59,13.4,14.656607,121.06235,24
Route 1,4.59,13.4,14.65509,121.062335,25
Route 1,4.59,13.4,14.65505,121.062335,26
Route 1,4.59,13.4,14.654957,121.062334,27
Route 1,4.59,13.4,14.654954,121.062147,28
Route 1,4.59,13.4,14.654952,121.062022,29
Route 1,4.59,13.4,14.654949,121.061866,30
Route 1,4.59,13.4,14.654948,121.061796,31
Route 1,4.59,13.4,14.654944,121.061565,32
Route 1,4.59,13.4,14.65493,121.06065,33
Route 1,4.59,13.4,14.654918,121.059898,34
Route 1,4.59,13.4,14.654907,121.059241,35
Route 1,4.59,13.4,14.654897,121.058855,36
Route 1,4.59,13.4,14.654892,121.058543,37
Route 1,4.59,13.4,14.654892,121.058421,38
Route 1,4.59,13.4,14.654811,121.058423,39
Route 1,4.59,13.4,14.654732,121.058423,40
Route 1,4.59,13.4,14.654527,121.058464,41
Route 1,4.59,13.4,14.653939,121.058581,42
Route 1,4.59,13.4,14.653938,121.058581,43
Route 1,4.59,13.4,14.653893,121.05859,44
Route 1,4.59,13.4,14.653852,121.058598,45
Route 1,4.59,13.4,14.653209,121.058725,46
Route 1,4.59,13.4,14.652775,121.058811,47
Route 1,4.59,13.4,14.652378,121.05889,48
Route 1,4.59,13.4,14.652257,121.058914,49
Route 1,4.59,13.4,14.652193,121.058927,50
Route 1,4.59,13.4,14.652042,121.058957,51
Route 1,4.59,13.4,14.65177,121.059011,52
Route 1,4.59,13.4,14.65134,121.059096,53
Route 1,4.59,13.4,14.651137,121.059136,54
Route 1,4.59,13.4,14.651074,121.059148,55
Route 1,4.59,13.4,14.651074,121.059148,56
Route 1,4.59,13.4,14.650066666666666,121.05934666666666,57
Route 1,4.59,13.4,14.649059333333334,121.05954533333333,58
Route 1,4.59,13.4,14.648052,121.059744,59
Route 1,4.59,13.4,14.647899,121.059789,60
Route 1,4.59,13.4,14.647808,121.059818,61
Route 1,4.59,13.4,14.647707,121.059864,62
Route 1,4.59,13.4,14.647534,121.059962,63
Route 1,4.59,13.4,14.647397,121.060085,64
Route 1,4.59,13.4,14.647266,121.060241,65
Route 1,4.59,13.4,14.64722,121.060333,66
Route 1,4.59,13.4,14.647194,121.060401,67
Route 1,4.59,13.4,14.647174,121.060485,68
Route 1,4.59,13.4,14.647151,121.060592,69
Route 1,4.59,13.4,14.647141,121.060654,70
Route 1,4.59,13.4,14.647136,121.060705,71
Route 1,4.59,13.4,14.647133,121.060751,72
Route 1,4.59,13.4,14.64713,121.060837,73
Route 1,4.59,13.4,14.647129,121.060966,74
Route 1,4.59,13.4,14.647129,121.061134,75
Route 1,4.59,13.4,14.647131,121.061221,76
Route 1,4.59,13.4,14.647138,121.061333,77
Route 1,4.59,13.4,14.647151,121.061465,78
Route 1,4.59,13.4,14.647171,121.061596,79
Route 1,4.59,13.4,14.64719,121.06169,80
Route 1,4.59,13.4,14.647342,121.062323,81
Route 1,4.59,13.4,14.647355,121.062376,82
Route 1,4.59,13.4,14.647392,121.062529,83
Route 1,4.59,13.4,14.647498,121.062979,84
Route 1,4.59,13.4,14.647657,121.063654,85
Route 1,4.59,13.4,14.64768,121.063811,86
Route 1,4.59,13.4,14.647694,121.063946,87
Route 1,4.59,13.4,14.6477,121.064087,88
Route 1,4.59,13.4,14.647696,121.064207,89
Route 1,4.59,13.4,14.64769,121.06429,90
Route 1,4.59,13.4,14.64768,121.064384,91
Route 1,4.59,13.4,14.647672,121.064459,92
Route 1,4.59,13.4,14.647676,121.064569,93
Route 1,4.59,13.4,14.647683,121.064654,94
Route 1,4.59,13.4,14.647704,121.064838,95
Route 1,4.59,13.4,14.647727,121.065029,96
Route 1,4.59,13.4,14.647746,121.065165,97
Route 1,4.59,13.4,14.647761,121.065239,98
Route 1,4.59,13.4,14.647777,121.065308,99
Route 1,4.59,13.4,14.647802,121.065388,100
Route 1,4.59,13.4,14.647828,121.065457,101
Route 1,4.59,13.4,14.647938,121.065717,102
Route 1,4.59,13.4,14.647959,121.065781,103
Route 1,4.59,13.4,14.647965,121.065808,104
Route 1,4.59,13.4,14.647973,121.065854,105
Route 1,4.59,13.4,14.647981,121.065921,106
Route 1,4.59,13.4,14.647984,121.065984,107
Route 1,4.59,13.4,14.647982,121.066053,108
Route 1,4.59,13.4,14.647972,121.066162,109
Route 1,4.59,13.4,14.647948,121.06629,110
Route 1,4.59,13.4,14.647904,121.066428,111
Route 1,4.59,13.4,14.647704,121.066899,112
Route 1,4.59,13.4,14.647671,121.066969,113
Route 1,4.59,13.4,14.64757,121.067181,114
Route 1,4.59,13.4,14.647507,121.06732,115
Route 1,4.59,13.4,14.647348,121.067676,116
Route 1,4.59,13.4,14.64725,121.067867,117
Route 1,4.59,13.4,14.647226,121.067938,118
Route 1,4.59,13.4,14.647209,121.068024,119
Route 1,4.59,13.4,14.647211,121.068122,120
Route 1,4.59,13.4,14.647208,121.068244,121
Route 1,4.59,13.4,14.647203,121.068853,122
Route 1,4.59,13.4,14.647203,121.068888,123
Route 1,4.59,13.4,14.647203,121.068968,124
Route 1,4.59,13.4,14.647197,121.069355,125
Route 1,4.59,13.4,14.647194,121.069611,126
Route 1,4.59,13.4,14.647203,121.069846,127
Route 1,4.59,13.4,14.647238,121.070221,128
Route 1,4.59,13.4,14.647278,121.070518,129
Route 1,4.59,13.4,14.647301,121.070659,130
Route 1,4.59,13.4,14.647333,121.070817,131
Route 1,4.59,13.4,14.647393,121.071025,132
Route 1,4.59,13.4,14.647441,121.071134,133
Route 1,4.59,13.4,14.647494,121.071226,134
Route 1,4.59,13.4,14.647615,121.07141,135
Route 1,4.59,13.4,14.647727,121.07158,136
Route 1,4.59,13.4,14.647786,121.071676,137
Route 1,4.59,13.4,14.647981,121.071983,138
Route 1,4.59,13.4,14.648047,121.072102,139
Route 1,4.59,13.4,14.648123,121.072255,140
Route 1,4.59,13.4,14.64816,121.072362,141
Route 1,4.59,13.4,14.648182,121.07243,142
Route 1,4.59,13.4,14.648211,121.072538,143
Route 1,4.59,13.4,14.648247,121.072742,144
Route 1,4.59,13.4,14.648261,121.072923,145
Route 1,4.59,13.4,14.648266,121.073124,146
Route 1,4.59,13.4,14.648231,121.07326,147
Route 1,4.59,13.4,14.648238,121.07347,148
Route 1,4.59,13.4,14.648249,121.07382,149
Route 1,4.59,13.4,14.648246,121.074072,150
Route 1,4.59,13.4,14.648209,121.074185,151
Route 1,4.59,13.4,14.648159,121.074257,152
Route 1,4.59,13.4,14.648054,121.074303,153
Route 1,4.59,13.4,14.647654,121.074295,154
Route 1,4.59,13.4,14.647191,121.074284,155
Route 1,4.59,13.4,14.647087,121.074285,156
Route 1,4.59,13.4,14.646925,121.074277,157
Route 1,4.59,13.4,14.646903,121.074277,158
Route 1,4.59,13.4,14.646793,121.074275,159
Route 1,4.59,13.4,14.646603,121.074273,160
Route 1,4.59,13.4,14.646332,121.074297,161
Route 1,4.59,13.4,14.646147,121.074321,162
Route 1,4.59,13.4,14.645899,121.074354,163
Route 1,4.59,13.4,14.645371,121.074419,164
Route 1,4.59,13.4,14.644985,121.074472,165
Route 1,4.59,13.4,14.644442,121.07454,166
Route 1,4.59,13.4,14.644237,121.074567,167
Route 1,4.59,13.4,14.643992,121.074595,168
Route 1,4.59,13.4,14.643438,121.074629,169
Route 1,4.59,13.4,14.642898,121.074614,170
Route 1,4.59,13.4,14.642448,121.074593,171
Route 1,4.59,13.4,14.642238,121.074584,172
Route 1,4.59,13.4,14.641706,121.074561,173
Route 1,4.59,13.4,14.641606,121.074556,174
Route 1,4.59,13.4,14.641557,121.074552,175
Route 1,4.59,13.4,14.64142,121.074548,176
Route 1,4.59,13.4,14.641185,121.074538,177
Route 1,4.59,13.4,14.640974,121.074533,178
Route 1,4.59,13.4,14.640764,121.074524,179
Route 1,4.59,13.4,14.640539,121.074514,180
Route 1,4.59,13.4,14.640534,121.074649,181
Route 1,4.59,13.4,14.640532,121.074685,182
Route 1,4.59,13.4,14.640531,121.074759,183
Route 1,4.59,13.4,14.640528,121.074795,184
Route 1,4.59,13.4,14.640523,121.075005,185
Route 1,4.59,13.4,14.640524,121.075247,186
Route 1,4.59,13.4,14.640526,121.075383,187
Route 1,4.59,13.4,14.640546,121.075468,188
Route 1,4.59,13.4,14.640606,121.075619,189
Route 1,4.59,13.4,14.640639,121.075692,190
Route 1,4.59,13.4,14.640763,121.075902,191
Route 1,4.59,13.4,14.640902,121.076145,192
Route 1,4.59,13.4,14.640927,121.076187,193
Route 1,4.59,13.4,14.64105,121.076401,194
Route 1,4.59,13.4,14.641103,121.07655,195
Route 1,4.59,13.4,14.641108,121.076713,196
Route 1,4.59,13.4,14.641084,121.076904,197
Route 1,4.59,13.4,14.641013,121.077095,198
Route 1,4.59,13.4,14.640998,121.077131,199
Route 1,4.59,13.4,14.640985,121.077157,200
