route_name,distance_km,duration_min,lat,lon,order
via Alternate Route 1,4.59,13.2,14.65728,121.064451,1
via Alternate Route 1,4.59,13.2,14.657295,121.064335,2
via Alternate Route 1,4.59,13.2,14.657383,121.064283,3
via Alternate Route 1,4.59,13.2,14.657643,121.064059,4
via Alternate Route 1,4.59,13.2,14.657676,121.063653,5
via Alternate Route 1,4.59,13.2,14.65769,121.062654,6
via Alternate Route 1,4.59,13.2,14.65769,121.062361,7
via Alternate Route 1,4.59,13.2,14.656823,121.062352,8
via Alternate Route 1,4.59,13.2,14.65509,121.062335,9
via Alternate Route 1,4.59,13.2,14.654954,121.062147,10
via Alternate Route 1,4.59,13.2,14.654948,121.061796,11
via Alternate Route 1,4.59,13.2,14.654918,121.059898,12
via Alternate Route 1,4.59,13.2,14.654892,121.058543,13
via Alternate Route 1,4.59,13.2,14.654732,121.058423,14
via Alternate Route 1,4.59,13.2,14.653938,121.058581,15
via Alternate Route 1,4.59,13.2,14.653209,121.058725,16
via Alternate Route 1,4.59,13.2,14.652257,121.058914,17
via Alternate Route 1,4.59,13.2,14.65177,121.059011,18
via Alternate Route 1,4.59,13.2,14.651074,121.059148,19
via Alternate Route 1,4.59,13.2,14.647808,121.059818,20
via Alternate Route 1,4.59,13.2,14.647397,121.060085,21
via Alternate Route 1,4.59,13.2,14.647194,121.060401,22
via Alternate Route 1,4.59,13.2,14.647141,121.060654,23
via Alternate Route 1,4.59,13.2,14.64713,121.060837,24
via Alternate Route 1,4.59,13.2,14.647131,121.061221,25
via Alternate Route 1,4.59,13.2,14.647171,121.061596,26
via Alternate Route 1,4.59,13.2,14.647355,121.062376,27
via Alternate Route 1,4.59,13.2,14.647657,121.063654,28
via Alternate Route 1,4.59,13.2,14.6477,121.064087,29
via Alternate Route 1,4.59,13.2,14.64768,121.064384,30
via Alternate Route 1,4.59,13.2,14.647683,121.064654,31
via Alternate Route 1,4.59,13.2,14.647746,121.065165,32
via Alternate Route 1,4.59,13.2,14.647802,121.065388,33
via Alternate Route 1,4.59,13.2,14.647959,121.065781,34
via Alternate Route 1,4.59,13.2,14.647981,121.065921,35
via Alternate Route 1,4.59,13.2,14.647972,121.066162,36
via Alternate Route 1,4.59,13.2,14.647704,121.066899,37
via Alternate Route 1,4.59,13.2,14.647507,121.06732,38
via Alternate Route 1,4.59,13.2,14.647226,121.067938,39
via Alternate Route 1,4.59,13.2,14.647208,121.068244,40
via Alternate Route 1,4.59,13.2,14.647203,121.068968,41
via Alternate Route 1,4.59,13.2,14.647203,121.069846,42
via Alternate Route 1,4.59,13.2,14.647301,121.070659,43
via Alternate Route 1,4.59,13.2,14.647441,121.071134,44
via Alternate Route 1,4.59,13.2,14.647727,121.07158,45
via Alternate Route 1,4.59,13.2,14.648047,121.072102,46
via Alternate Route 1,4.59,13.2,14.648182,121.07243,47
via Alternate Route 1,4.59,13.2,14.648261,121.072923,48
via Alternate Route 1,4.59,13.2,14.648238,121.07347,49
via Alternate Route 1,4.59,13.2,14.648209,121.074185,50
via Alternate Route 1,4.59,13.2,14.647654,121.074295,51
via Alternate Route 1,4.59,13.2,14.646925,121.074277,52
via Alternate Route 1,4.59,13.2,14.646603,121.074273,53
via Alternate Route 1,4.59,13.2,14.645899,121.074354,54
via Alternate Route 1,4.59,13.2,14.644442,121.07454,55
via Alternate Route 1,4.59,13.2,14.643438,121.074629,56
via Alternate Route 1,4.59,13.2,14.642238,121.074584,57
via Alternate Route 1,4.59,13.2,14.641557,121.074552,58
via Alternate Route 1,4.59,13.2,14.640974,121.074533,59
via Alternate Route 1,4.59,13.2,14.640534,121.074649,60
via Alternate Route 1,4.59,13.2,14.640528,121.074795,61
via Alternate Route 1,4.59,13.2,14.640526,121.075383,62
via Alternate Route 1,4.59,13.2,14.640639,121.075692,63
via Alternate Route 1,4.59,13.2,14.640927,121.076187,64
via Alternate Route 1,4.59,13.2,14.641108,121.076713,65
via Alternate Route 1,4.59,13.2,14.640998,121.077131,66
via Lakandula Street,3.88,13.6,14.65728,121.064451,1
via Lakandula Street,3.88,13.6,14.657295,121.064335,2
via Lakandula Street,3.88,13.6,14.657383,121.064283,3
via Lakandula Street,3.88,13.6,14.657643,121.064059,4
via Lakandula Street,3.88,13.6,14.657676,121.063653,5
via Lakandula Street,3.88,13.6,14.65769,121.062654,6
via Lakandula Street,3.88,13.6,14.65769,121.062361,7
via Lakandula Street,3.88,13.6,14.656823,121.062352,8
via Lakandula Street,3.88,13.6,14.65509,121.062335,9
via Lakandula Street,3.88,13.6,14.654798,121.062333,10
via Lakandula Street,3.88,13.6,14.654423,121.062333,11
via Lakandula Street,3.88,13.6,14.652964,121.062331,12
via Lakandula Street,3.88,13.6,14.653014,121.064495,13
via Lakandula Street,3.88,13.6,14.652679,121.065766,14
via Lakandula Street,3.88,13.6,14.652524,121.065956,15
via Lakandula Street,3.88,13.6,14.651869,121.066891,16
